model,fps,lut,mac_efficiency,mAP
3w3a_yolov8n_480,30.1408179,347261,89.29,0.2004300172
3w3a_yolov8n_640,32.55208333,363217,92.7,0.215040068
3w3a_yolov8p_480,30.1408179,253789,74.56,0.1351972203
3w3a_yolov8p_640,32.55208333,262046,86.78,0.1379199544
3w3a_yolov8s_480,30.1408179,904294,96.4,0.3052009434
3w3a_yolov8s_640,30.51757813,938556,87.55,0.3319988571
4w4a_yolov8n_320,32.55208333,403987,79.06,0.226581467
4w4a_yolov8n_480,30.1408179,414171,89.29,0.2665196425
4w4a_yolov8n_640,32.55208333,439866,92.7,0.2825370266
4w4a_yolov8p_320,32.55208333,269103,53,0.1580453332
4w4a_yolov8p_480,30.1408179,280321,74.56,0.1868179197
4w4a_yolov8p_640,32.55208333,299262,86.78,0.1982175271
4w4a_yolov8s_320,30.51757813,1061140,85.91,0.3088143893
4w4a_yolov8s_480,30.1408179,1092435,96.4,0.3621749263
4w4a_yolov8s_640,30.51757813,1140943,87.55,0.3862513648
8w8a_yolov8n_320,32.55208333,969144,79.06,0.2399877685
8w8a_yolov8n_480,30.1408179,982483,89.29,0.3055437587
8w8a_yolov8n_640,32.55208333,1018018,92.7,0.3321947645
8w8a_yolov8p_320,32.55208333,601869,53,0.181145638
8w8a_yolov8p_480,30.1408179,606609,74.56,0.2446954874
8w8a_yolov8p_640,32.55208333,628261,86.78,0.2586441198
8w8a_yolov8s_320,30.51757813,2495029,85.91,0.3239708005
8w8a_yolov8s_480,30.1408179,2558144,96.4,0.3998853719
8w8a_yolov8s_640,30.51757813,2632531,87.55,0.4298268441
